gen,seed,avg_fit,max_fit,avg_size,max_size,test,best_tree
0,1714434153.9965138,0.17597957709895243,0.8995582323765774,10.64,53,,
1,1714434153.9965138,0.38440358916951306,0.9015436702232128,8.995,43,,
2,1714434153.9965138,0.5907964504629677,0.9024802020860562,7.295,30,,
3,1714434153.9965138,0.7578371392498598,0.9029382361846293,5.24,24,,
4,1714434153.9965138,0.8538634146184683,0.9029382361846293,4.075,13,,
5,1714434153.9965138,0.8592910157952499,0.9035155290993792,4.19,10,,
6,1714434153.9965138,0.8753668252391523,0.9030866250408197,4.5,11,,
7,1714434153.9965138,0.8723808766029163,0.9038200593846482,4.87,14,,
8,1714434153.9965138,0.8888907071936802,0.9038200593846482,5.15,13,,
9,1714434153.9965138,0.8626345743322255,0.9035155290993792,5.885,15,,
10,1714434153.9965138,0.8698839134556596,0.9038878130410072,6.875,23,,
11,1714434153.9965138,0.875175094686079,0.9039932603076121,7.64,21,,
12,1714434153.9965138,0.8803190802015685,0.9039815840685826,8.735,23,,
13,1714434153.9965138,0.8860496714600076,0.904300758290889,10.395,33,,
14,1714434153.9965138,0.8925888076491384,0.904530876016222,11.78,27,,
15,1714434153.9965138,0.8869049718584563,0.9047452448308282,14.14,43,,
16,1714434153.9965138,0.884944836967844,0.9047255241179328,15.94,49,,
17,1714434153.9965138,0.8877900231826931,0.9044707481811154,18.815,57,,
18,1714434153.9965138,0.8881865828904858,0.9045783618130299,20.555,57,,
19,1714434153.9965138,0.8928456788578607,0.9046546910377359,23.82,71,,
20,1714434153.9965138,0.9010978039021913,0.9046576579806941,26.28,65,,
,,,,,,0.896312142096376,
,,,,,,,"vec_add(vec_add(w2, vec_add(w0, vec_add(w1, w4))), vec_add(vec_add(w1, w4), w3))"
